MCG,GVH,LIP,CHG,AAC,ALM1,ALM2,Actual_Class,Predicted_Class,Prediction_Probability,Prediction_Match
0.49,0.29,0.48,0.5,0.56,0.24,0.35,cp,cp,0.9862941106160482,True
0.07,0.4,0.48,0.5,0.54,0.35,0.44,cp,cp,0.9871814250946045,True
0.56,0.4,0.48,0.5,0.49,0.37,0.46,cp,cp,0.9392346143722534,True
0.59,0.49,0.48,0.5,0.52,0.45,0.36,cp,pp,0.4192078908284505,False
0.23,0.32,0.48,0.5,0.55,0.25,0.35,cp,cp,0.9876735210418701,True
0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp,cp,0.744392196337382,True
0.29,0.28,0.48,0.5,0.44,0.23,0.34,cp,cp,0.9948639074961344,True
0.21,0.34,0.48,0.5,0.51,0.28,0.39,cp,cp,0.9893883864084879,True
0.2,0.44,0.48,0.5,0.46,0.51,0.57,cp,cp,0.9768690665562948,True
0.42,0.4,0.48,0.5,0.56,0.18,0.3,cp,cp,0.9817073345184326,True
0.42,0.24,0.48,0.5,0.57,0.27,0.37,cp,cp,0.9870967467625936,True
0.25,0.48,0.48,0.5,0.44,0.17,0.29,cp,cp,0.9928929408391317,True
0.39,0.32,0.48,0.5,0.46,0.24,0.35,cp,cp,0.9939282735188802,True
0.51,0.5,0.48,0.5,0.46,0.32,0.35,cp,cp,0.9939282735188802,True
0.22,0.43,0.48,0.5,0.48,0.16,0.28,cp,cp,0.9907875458399454,True
0.25,0.4,0.48,0.5,0.46,0.44,0.52,cp,cp,0.9905630747477213,True
0.34,0.45,0.48,0.5,0.38,0.24,0.35,cp,cp,0.9965802033742269,True
0.44,0.27,0.48,0.5,0.55,0.52,0.58,cp,cp,0.958141048749288,True
0.23,0.4,0.48,0.5,0.39,0.28,0.38,cp,cp,0.9962231318155924,True
0.41,0.57,0.48,0.5,0.39,0.21,0.32,cp,cp,0.9786025683085123,True
0.4,0.45,0.48,0.5,0.38,0.22,0.0,cp,cp,0.9942127466201782,True
0.31,0.23,0.48,0.5,0.73,0.05,0.14,cp,cp,0.9041953484217325,True
0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp,cp,0.9964942932128906,True
0.3,0.16,0.48,0.5,0.56,0.11,0.23,cp,cp,0.9840855598449707,True
0.36,0.39,0.48,0.5,0.48,0.22,0.23,cp,cp,0.9904928604761759,True
